iter	Passed	Remaining
692	1057	468
693	1059	467
694	1061	465
695	1063	464
696	1065	463
697	1066	461
698	1068	460
699	1070	458
700	1075	458
701	1079	458
702	1081	456
703	1083	455
704	1084	453
705	1086	452
706	1088	451
707	1089	449
708	1091	448
709	1093	446
710	1094	444
711	1095	443
712	1097	441
713	1099	440
714	1100	438
715	1101	436
716	1102	435
717	1103	433
718	1106	432
719	1107	430
720	1109	429
721	1112	428
722	1114	427
723	1115	425
724	1117	423
725	1118	422
726	1119	420
727	1120	418
728	1121	416
729	1122	415
730	1123	413
731	1124	411
732	1125	410
733	1127	408
734	1128	406
735	1129	405
736	1130	403
737	1131	401
738	1132	400
739	1133	398
740	1134	396
741	1135	394
742	1136	393
743	1137	391
744	1138	389
745	1139	388
746	1141	386
747	1142	385
748	1143	383
749	1144	381
750	1145	379
751	1146	378
752	1148	376
753	1149	374
754	1150	373
755	1151	371
756	1152	369
757	1153	368
758	1154	366
759	1156	365
760	1157	363
761	1158	361
762	1159	360
763	1160	358
764	1162	356
765	1163	355
766	1164	353
767	1165	352
768	1166	350
769	1167	348
770	1168	347
771	1169	345
772	1170	343
773	1172	342
774	1173	340
775	1174	339
776	1175	337
777	1177	335
778	1178	334
779	1179	332
780	1180	330
781	1181	329
782	1182	327
783	1183	326
784	1184	324
785	1186	322
786	1187	321
787	1188	319
788	1189	318
789	1190	316
790	1191	314
791	1192	313
792	1193	311
793	1194	309
794	1195	308
795	1196	306
796	1198	305
797	1199	303
798	1200	301
799	1202	300
800	1203	298
801	1204	297
802	1205	295
803	1206	294
804	1207	292
805	1208	290
806	1209	289
807	1210	287
808	1211	286
809	1212	284
810	1213	282
811	1214	281
812	1216	279
813	1217	278
814	1218	276
815	1219	275
816	1221	273
817	1221	271
818	1223	270
819	1224	268
820	1225	267
821	1226	265
822	1227	263
823	1228	262
824	1229	260
825	1231	259
826	1232	257
827	1233	256
828	1234	254
829	1235	253
830	1236	251
831	1237	249
832	1238	248
833	1239	246
834	1240	245
835	1241	243
836	1242	242
837	1244	240
838	1246	239
839	1247	237
840	1248	236
841	1249	234
842	1250	232
843	1252	231
844	1253	229
845	1254	228
846	1255	226
847	1256	225
848	1257	223
849	1258	222
850	1259	220
851	1261	219
852	1262	217
853	1264	216
854	1266	214
855	1267	213
856	1268	211
857	1269	210
858	1270	208
859	1271	207
860	1272	205
861	1273	203
862	1275	202
863	1276	200
864	1278	199
865	1279	198
866	1280	196
867	1281	194
868	1282	193
869	1284	191
870	1285	190
871	1286	188
872	1287	187
873	1288	185
874	1290	184
875	1291	182
876	1293	181
877	1294	179
878	1295	178
879	1296	176
880	1297	175
881	1298	173
882	1299	172
883	1300	170
884	1301	169
885	1302	167
886	1304	166
887	1305	164
888	1306	163
889	1307	161
890	1308	160
891	1309	158
892	1310	157
893	1311	155
894	1313	154
895	1314	152
896	1315	151
897	1316	149
898	1317	148
899	1318	146
900	1320	145
901	1321	143
902	1322	142
903	1323	140
904	1324	139
905	1325	137
906	1326	136
907	1328	134
908	1329	133
909	1330	131
910	1331	130
911	1332	128
912	1333	127
913	1334	125
914	1336	124
915	1337	122
916	1338	121
917	1339	119
918	1340	118
919	1342	116
920	1343	115
921	1345	113
922	1346	112
923	1347	110
924	1348	109
925	1349	107
926	1351	106
927	1352	104
928	1353	103
929	1354	101
930	1356	100
931	1357	99
932	1358	97
933	1359	96
934	1360	94
935	1361	93
936	1362	91
937	1364	90
938	1365	88
939	1366	87
940	1368	85
941	1369	84
942	1370	82
943	1371	81
944	1373	79
945	1374	78
946	1375	76
947	1376	75
948	1377	74
949	1378	72
950	1379	71
951	1381	69
952	1383	68
953	1384	66
